kanji,onyomi,kunyomi,english,jlptlevel,category
日,ニチ ジツ -,ひ -び,day sun Japan ,N5,Kanji
一,イチ イツ ヒト.,ひと-,one,N5,Kanji
国,コク ク,,country,N5,Kanji
人,ジン ニン -,ひと -り,person,N5,Kanji
年,ネン ト,,year,N5,Kanji
大,ダイ タイ -オオ.イ,おお- おお.きい,large big,N5,Kanji
十,ジュウ ジッ ジュッ,とお,ten,N5,Kanji
二,ニ ジ フタタ.,ふた ふた.つ,two,N5,Kanji
本,ホン モ,,book present main true real counter for long things ,N5,Kanji
中,チュウ アタ.,なか うち,in inside middle mean center,N5,Kanji
長,チョウ オ,なが.い,long leader,N5,Kanji
出,シュツ スイ イ.ダ,で.る -で だ.す -だ.す い.でる,exit leave,N5,Kanji
三,サン ゾウ ミッ.,み み.つ,three,N5,Kanji
時,ジ -ド,とき,time hour,N5,Kanji
行,コウ ギョウ アン オコ.ナ,い.く ゆ.く -ゆ.き -ゆき -い.き -いき おこな.う,going journey,N5,Kanji
見,ケン,み.る み.える み.せる,see hopes chances idea opinion look at visible,N5,Kanji
月,ゲツ ガツ ツ,,month moon,N5,Kanji
後,ゴ コウ オク.レ,のち うし.ろ うしろ あと,behind back later ,N5,Kanji
前,ゼン -マ,まえ,in front before ,N5,Kanji
生,セイ ショウ -,い.きる い.かす い.ける う.まれる う.まれ うまれ う.む お.う は.える は.やす き なま なま- な.る,life genuine birth ,N5,Kanji
五,ゴ イツ.,いつ,five,N5,Kanji
間,カン ケン,あいだ ま あい,interval space,N5,Kanji
上,ジョウ ショウ シャン ヨ.,うえ -うえ うわ- かみ あ.げる -あ.げる あ.がる -あ.がる あ.がり -あ.がり のぼ.る のぼ.り のぼ.,above up,N5,Kanji
東,トウ ヒガ,,east,N5,Kanji
四,シ ヨ,よ よ.つ よっ.つ,four,N5,Kanji
今,コン キン イ,,now,N5,Kanji
金,キン コン ゴン -ガ,かね かな-,gold,N5,Kanji
九,キュウ ク ココノ.,ここの,nine,N5,Kanji
入,ニュウ ジュ ハイ.,い.る -い.る -い.り い.れる -い.れ,enter insert,N5,Kanji
学,ガク マナ.,,study learning science ,N5,Kanji
高,コウ タカ.メ,たか.い たか -だか たか.まる,tall high expensive ,N5,Kanji
円,エン マロ.ヤ,まる.い まる まど まど.か,circle yen round ,N5,Kanji
子,シ ス ツ,こ -こ,child sign of the rat 11PM-1AM first sign of Chinese zodiac,N5,Kanji
外,ガイ ゲ,そと ほか はず.す はず.れる と,outside,N5,Kanji
八,ハチ ヨ,や や.つ やっ.つ,eight,N5,Kanji
六,ロク リク ム,む む.つ むっ.つ,six,N5,Kanji
下,カ ゲ オ.リ,した しも もと さ.げる さ.がる くだ.る くだ.り くだ.す -くだ.す くだ.さる お.ろす,below down descend give low inferior ,N5,Kanji
来,ライ タイ,く.る きた.る きた.す き.たす き.たる き,come due next cause become,N5,Kanji
気,キ ケ,いき,spirit mind,N5,Kanji
小,ショウ,ちい.さい こ- お- さ,little small,N5,Kanji
七,シチ ナ,なな なな.つ,seven,N5,Kanji
山,サン セン ヤ,,mountain,N5,Kanji
話,ワ,はな.す はなし,tale talk,N5,Kanji
女,ジョ ニョ ニョウ,おんな,woman female,N5,Kanji
北,ホク キ,,north,N5,Kanji
午,ゴ,うま,noon sign of the horse 11AM-1PM seventh sign of Chinese zodiac,N5,Kanji
百,ヒャク ビャク モ,,hundred,N5,Kanji
書,ショ -ガ,か.く -が.き,write,N5,Kanji
先,セン マ.,さき,before ahead previous future precedence,N5,Kanji
名,メイ ミョウ -,な,name noted distinguished reputation,N5,Kanji
川,セン カ,,stream river,N5,Kanji
千,セン,,thousand,N5,Kanji
水,スイ,みず みず,water,N5,Kanji
半,ハン ナカ.,,half middle odd number semi- part-,N5,Kanji
男,ダン ナン,おとこ,male,N5,Kanji
西,セイ サイ ス ニ,,west Spain,N5,Kanji
電,デン,,electricity,N5,Kanji
校,コウ キョ,,exam school printing proof correction,N5,Kanji
語,ゴ,かた.る かた.らう,word speech language ,N5,Kanji
土,ド ト ツ,,soil earth ground Turkey,N5,Kanji
木,ボク モク,き こ,tree wood,N5,Kanji
聞,ブン モン,き.く き.こえる,hear ask listen ,N5,Kanji
食,ショク ジキ ハ.,く.う く.らう た.べる,eat food,N5,Kanji
車,シャ クル,,car,N5,Kanji
何,カ,なに なん なに- なん,what,N5,Kanji
南,ナン ナ ミナ,,south,N5,Kanji
万,マン バン ヨロ,,ten thousand,N5,Kanji
毎,マイ -ゴト.,ごと,every,N5,Kanji
白,ハク ビャク シロ.,しろ しら-,white,N5,Kanji
天,テン,あまつ あめ あま,heavens sky imperial ,N5,Kanji
母,ボ,はは も,mama mother,N5,Kanji
火,カ,ひ -び ほ-,fire,N5,Kanji
右,ウ ユウ ミ,,right,N5,Kanji
読,ドク トク トウ -ヨ.,よ.む,read,N5,Kanji
友,ユウ ト,,friend,N5,Kanji
左,サ シャ ヒダ,,left,N5,Kanji
休,キュウ,やす.む やす.まる やす.める,rest day off retire sleep,N5,Kanji
父,フ,ちち,father,N5,Kanji
雨,ウ,あめ あま- -さめ,rain,N5,Kanji
会う,,あう,to meet,N5,Vocabulary
青,,あお,blue,N5,Vocabulary
青い,,あおい,blue,N5,Vocabulary
赤,,あか,red,N5,Vocabulary
赤い,,あかい,red,N5,Vocabulary
明い,,あかるい,bright,N5,Vocabulary
秋,,あき,autumn,N5,Vocabulary
開く,,あく,to open to become open ,N5,Vocabulary
開ける,,あける,to open,N5,Vocabulary
上げる,,あげる,to give,N5,Vocabulary
朝,,あさ,morning,N5,Vocabulary
朝御飯,,あさごはん,breakfast,N5,Vocabulary
,,あさって,day after tomorrow,N5,Vocabulary
足,,あし,foot leg,N5,Vocabulary
明日,,あした,tomorrow,N5,Vocabulary
,,あそこ,over there,N5,Vocabulary
遊ぶ,,あそぶ,to play to make a visit ,N5,Vocabulary
暖かい,,あたたかい,warm,N5,Vocabulary
頭,,あたま,head,N5,Vocabulary
新しい,,あたらしい,new,N5,Vocabulary
,,あちら,there,N5,Vocabulary
暑い,,あつい,hot,N5,Vocabulary
熱い,,あつい,hot to the touch,N5,Vocabulary
厚い,,あつい,kind deep thick ,N5,Vocabulary
,,あっち,over there,N5,Vocabulary
後,,あと,afterwards,N5,Vocabulary
,,あなた,you,N5,Vocabulary
兄,,あに,(humble) older brother,N5,Vocabulary
姉,,あね,(humble) older sister,N5,Vocabulary
,,あの,that over there,N5,Vocabulary
,,あの,um...,N5,Vocabulary
,,アパート,apartment,N5,Vocabulary
,,あびる,to bathe to shower ,N5,Vocabulary
危ない,,あぶない,dangerous,N5,Vocabulary
甘い,,あまい,sweet,N5,Vocabulary
,,あまり,not very,N5,Vocabulary
雨,,あめ,rain,N5,Vocabulary
飴,,あめ,candy,N5,Vocabulary
洗う,,あらう,to wash,N5,Vocabulary
,,ある,to beto have (used for inanimate objects) ,N5,Vocabulary
歩く,,あるく,to walk,N5,Vocabulary
,,あれ,that,N5,Vocabulary
,,いい/よい,good,N5,Vocabulary
,,いいえ,no,N5,Vocabulary
言う,,いう,to say,N5,Vocabulary
家,,いえ,house,N5,Vocabulary
,,いかが,how,N5,Vocabulary
行く,,いく,to go,N5,Vocabulary
,,いくつ,how many?how old? ,N5,Vocabulary
,,いくら,how much?,N5,Vocabulary
池,,いけ,pond,N5,Vocabulary
医者,,いしゃ,medical doctor,N5,Vocabulary
,,いす,chair,N5,Vocabulary
忙しい,,いそがしい,busy irritated,N5,Vocabulary
痛い,,いたい,painful,N5,Vocabulary
一,,いち,one,N5,Vocabulary
一日,,いちにち,first of the month,N5,Vocabulary
,,いちばん,best first,N5,Vocabulary
,,いつ,when,N5,Vocabulary
五日,,いつか,five days fifth day ,N5,Vocabulary
一緒,,いっしょ,together,N5,Vocabulary
五つ,,いつつ,five,N5,Vocabulary
